VehicleID,LicenseNO,VID,VCODE,SIMNO,RegisterDate,MobileUnitBrandID,MobileUnitModelID,GroupID,CustomerID
32,ฮจ-8042 กทม.,3203,0899262825,66899262825,2009/06/23,1,1,73,0
33,ฮต-2909 กทม.,3079,0898929970,66898929970,2009/05/22,1,1,73,0
34,ฎท-732,6221,F950CDAE7A71B97,2072404C83C9EFB,2010/12/07,1,1,3125,0
35,ฎท-853,6223,0843603403,66843603403,2010/12/07,1,1,74,0
36,ฮท-7376,6222,188B661B7B14C37,AAAE97998B7D0D3,2010/12/07,1,1,3125,0
37,70-1219,9166,xxx772032989536,66819251286,2012/01/25,3,15,75,85
38,70-1833,9177,xxx772032981160,66819884865,2012/01/25,3,15,75,85
39,70-2952,9178,359772032966906,66819885072,2012/01/25,9,13,75,85
40,70-2953,9181,xxx772032987340,66898102216,2012/01/25,3,15,75,85
41,70-3219,8322,0818901156,66818901156,2011/08/31,2,11,75,85
42,70-4904,9176,359772032986482,66819883821,2012/01/25,3,15,75,85
43,73-5753,8318,0818896920,66818896920,2011/08/31,2,11,75,85
44,74-5223,9174,xxx772032970130,66819873574,2012/01/25,3,15,75,85
45,74-5807,8324,0818905077,66818905077,2011/08/31,2,11,75,85
46,75-0631,8319,0818897361,66818897361,2011/08/31,2,11,75,85
47,75-1636,9179,xxx772032986409,66819885472,2012/01/25,3,15,75,85
48,75-1701,9184,359772032970xxx,66898137010,2012/01/25,3,15,75,85
49,75-1732,9182,35977203297XXXX,66898102451,2012/01/25,3,15,75,85
50,75-1962,9169,359772033002xxx,66819262724,2012/01/25,3,15,75,85
51,75-2952,9185,35977203298xxxx,66898148527,2012/01/25,3,15,75,85
52,75-3215,9170,xxx772032985294,66819288917,2012/01/25,3,15,75,85
53,75-3321,8323,0818901948,66818901948,2011/08/31,2,11,75,85
54,79-4547,9168,xxx772032997075,66819270939,2012/01/25,3,15,75,85
55,79-4548,9175,359772032987xxx,66819878103,2012/01/25,3,15,75,85
56,79-6994,9183,359772032990xxx,66898103214,2012/01/25,3,15,75,85
57,94-9670,9172,xxx772032988645,66819842007,2012/01/25,3,15,75,85
58,95-7429,8320,0818897523,66818897523,2011/08/31,2,11,75,85
59,96-7753,8321,0818898620,66818898620,2011/08/31,2,11,75,85
60,96-9089,9180,xxx772032990484,66819896823,2012/01/25,3,15,75,85
61,96-9090,9167,359772032987829,66819255070,2012/01/25,3,15,75,85
62,99-7604,9173,xxx772032989890,66819842837,2012/01/25,3,15,75,85
63,99-7605,9171,xxx772032988090,66819293413,2012/01/25,3,15,75,85
64,3A-1020,8998,ID00xxxxx,ID00014213,2011/12/13,2,11,76,0
65,3A-7354,5195,IDXXXXXXX,ID00007792,2010/07/16,2,11,76,0
66,3A-9154,5225,ID00007774,ID00007774,2010/07/16,2,11,76,0
67,3A-9324,5219,ID00010097,ID00010097,2010/07/16,2,11,76,0
68,3A-9406xx,6653,ID00010412,ID00010412,2011/02/14,2,11,76,0
69,3A-9422,5194,ID00009988,ID00009988,2010/07/16,2,11,76,0
70,3A-9423,5643,ID0XXXXXXX,ID00003897,2010/09/23,2,11,76,0
71,3A-9451,5227,0768102218,0768102218,2010/07/16,2,11,76,0
72,3A-9466,5197,0768102186,0768102186,2010/07/16,2,11,76,0
73,3B-0056,6650,xxx0010409,ID00010409,2011/02/14,2,11,76,0
74,3B-0056(old),5208,B50B9CDA44CC010,F4B7CB53D172CF4,2010/07/16,2,11,999,0
75,3B-4721,8999,ID00014XXX,ID00014XXX,2011/12/13,2,11,76,0
76,ID00007949,5337,22ED2EEE93C7E60,6814FE5866E2790,2010/08/06,2,11,731,0
77,ID00007950,5338,5B729E4F468B527,2501982D3411961,2010/08/06,2,11,731,0
78,ID00007951,5339,62DC0EAAA943DA4,7216658FD6EF416,2010/08/06,2,11,731,0
79,ID00010408,6649,9CC21638D8FB04A,5A73BBD1E30FF55,2011/02/14,2,11,731,0
80,ฒค-1965 ระงับสัญญาณชั่วคราว,5342,0898156819,66898156819,2010/08/06,2,11,77,512
81,ฒช-641ระงับสัญญาณชั่วคราว,5038,0818332917,66818332917,2010/06/25,2,11,77,512
82,ถฎ-6650 ระงับสัญญาณชั่วคราว,5037,0818332908,66818332908,2010/06/25,2,11,77,512
83,ถฏ-6649 ระงับสัญญาณชั่วคราว,5341,0898156813,66898156813,2010/08/06,2,11,77,512
84,ถส-7290 ระงับสัญญาณชั่วคราว,6057,0811715879,66811715879,2010/11/19,2,11,77,512
85,บบ-6219 ระงับสัญญาณชั่วคราว,5036,4A3F15BE7565E9A,8FCCB23D5792A54,2010/06/25,2,11,3125,0
86,บบ-9181 ระงับสัญญาณชั่วคราว,5896,0898132631,66898132631,2010/11/01,2,11,77,512
87,2251,888,A35A8767A0CAC34,A0EF1C66B3BAC11,2008/04/24,5,14,3125,0
88,ก-2562 ป้ายแดง,1732,53BD6E0FB7169ED,C63B1A7FCBFD677,2008/10/08,5,14,3125,0
89,ก-4181 ป้ายแดง,1731,E4CE663EFA8B0AF,6E38AD383E671AA,2008/10/08,5,14,3125,0
90,ก-4655 ป้ายแดง,1729,B0AF8F8F7812694,A33C0830B2235EB,2008/10/08,5,14,3125,0
91,ค-3100,535,C51D52D90C7B46C,1ADD48514DB7728,2007/11/23,5,14,3125,0
92,ง-7418,880,4EF2D2A37012977,455E3CDA06C992A,2008/04/24,5,14,78,0
93,ง-7420,881,BEC276154C236A4,396364FAFD3CF9E,2008/04/24,5,14,78,0
94,ช-8264,534,14C5E48C7F56401,942CF9B7E5B3147,2007/11/23,5,14,3125,0
95,ฌข-2086,870,C8E979F6999B7DA,D98851AFBF378A0,2008/04/24,5,14,78,0
96,ฌข-2087,876,2C284B2F0010A49,F4D0EF8D9342D9D,2008/04/24,5,14,78,0
97,ฌข-2088,878,AFEDE2FD21311E1,00A137D434949E2,2008/04/24,5,14,78,0
98,ฌข-2089,884,1565D9018C832B4,FA4E8DE339781A6,2008/04/24,1,1,78,0
99,ฌข-2090,873,D5FFF45783151AC,34C6F38C2A986B5,2008/04/24,5,14,78,0
100,ฌข-2091,871,5990EAE199A7080,1A1EB70E2548EAE,2008/04/24,5,14,78,0
101,ฌข-2092,874,564D7DFCA22A844,01C33A9473FC252,2008/04/24,5,14,78,0
102,ฌข-2093,877,898E35B56FAA753,368707E9C636909,2008/04/24,5,14,78,0
103,ฌข-2094,872,78502A6BCBA791F,D2DF171BB90F5D8,2008/04/24,5,14,78,0
104,ฌข-2095,879,41009B84EEE2581,1C4E845D17ABF84,2008/04/24,5,14,78,0
105,ฌข-2096,875,E04203B0B5C76F4,878ED60CDA84481,2008/04/24,5,14,78,0
106,ฌข-2097,887,839BAAD944D23E9,3912EA2F7D93785,2008/04/24,1,1,78,0
107,ฌข-2098,885,53BCBD228E243FA,1B873AA3508521C,2008/04/24,1,1,78,0
108,ฌข-2099,886,EEADF84B31B9DB3,F9497DB22F632DC,2008/04/24,1,1,78,0
109,ฌข-771,529,F709BA89D361B1D,DED12BBACD261B8,2007/11/23,5,14,3125,0
110,ฌข-772,530,4744347E2392454,A248F747FEDD9DE,2007/11/23,5,14,3125,0
111,ฌข-773,531,1CA24A2FA53644F,CE441695D23B983,2007/11/23,5,14,3125,0
112,ฌข-774,532,6D61F934F9513B3,B9E41F90F79B9A2,2007/11/23,5,14,3125,0
113,ฌค-2706,1728,90B73F507E88F40,07994EE0F0122D5,2008/10/08,5,14,3125,0
114,ฌค-2740,1730,02002BFD3CEF378,391AF1F82A36627,2008/10/08,5,14,3125,0
115,ฌค-2801,1727,1CA5B3D92ABE17B,C48C44C3CC856B4,2008/10/08,5,14,3125,0
116,ษศ-1489 17-2-15,883,DB2F60D4363C709,540B5DDCB48351C,2008/04/24,1,1,78,0
117,ษศ-2144,882,D0A5E943D21B1D4,856341BAF7B3520,2008/04/24,5,14,78,0
118,ฮฉ-7419,946,EB5F32C642B18F7,BFF308962768365,2008/04/28,1,1,78,0
119,ฮฉ-7421,533,80F65B5273E4B9E,BD21673CF649592,2007/11/23,5,14,78,0
120,4020878885,5394,4020878885,4020878885,2010/08/20,6,9,79,512
121,4020878927,5390,4020878927,4020878927,2010/08/20,6,9,79,512
122,4020878935,5392,4020878935,4020878935,2010/08/20,6,9,79,512
123,4020878984,5389,4020878984,4020878984,2010/08/20,6,9,79,512
124,4020879727,5388,4020879727,4020879727,2010/08/20,6,9,79,512
125,4020879776,5384,4020879776,4020879776,2010/08/20,6,9,79,512
126,4020879826,5385,4020879826,4020879826,2010/08/20,6,9,79,512
127,4020879925,5391,4020879925,4020879925,2010/08/20,6,9,79,512
128,4020880345,5387,4020880345,4020880345,2010/08/20,6,9,79,512
129,4020884164,4685,4020884164,4020884164,2010/04/08,6,9,79,512
130,4020884230,4684,4020884230,4020884230,2010/04/08,6,9,79,512
131,4020884354,4686,4020884354,4020884354,2010/04/08,6,9,79,512
132,4020888389,5386,4020888389,4020888389,2010/08/20,6,9,79,512
133,4020888439,5393,4020888439,4020888439,2010/08/20,6,9,79,512
134,98-4245(01),2561,3761098CE47FE01,05FE3B88167D7CD,2009/03/10,5,14,3125,0
135,98-4246(04),2563,FA4D2D57472E282,675F898F5326036,2009/03/10,5,14,3125,0
136,98-4247(05),2560,EBF1A0F9DC30BC4,5A2BE906142A2D7,2009/03/10,5,14,3125,0
137,98-6424(02),2564,46B4DCD6450AA88,708415FE79F5EC5,2009/03/10,5,14,3125,0
138,ชข-8050,2567,899883FB37F5FBB,D71BBEB35008EAC,2009/03/10,5,14,3125,0
139,ชข-8051,2569,CE376DA604965F0,CE41B91A2064897,2009/03/10,5,14,3125,0
140,ชข-8052,2612,760AC8EA789D732,DE370DF2AF57E19,2009/03/19,5,14,3125,0
141,ชข-8053,2611,356E662674DF581,B9AD503B4AF2320,2009/03/19,5,14,3125,0
142,ชข-8054,2562,B93E2988840CD41,15D5AE411CDA771,2009/03/10,5,14,3125,0
143,ชข-8055,2613,44C194579F3D5A2,A8ED8BA5C62621A,2009/03/19,5,14,3125,0
144,ชข-8056,2609,93A1FA602AE1C2C,6EA4C5C6B345014,2009/03/19,5,14,3125,0
145,ชข-8057,2573,3AC1E0996387E41,6431FBE451DB9B4,2009/03/12,5,14,3125,0
146,ชข-8114,2570,0BB7E073BF9187F,2EA5EBD005B88A8,2009/03/10,5,14,3125,0
147,ชข-8117,2568,27FDA39419BAA68,5098956312C3E7E,2009/03/10,5,14,3125,0
148,ชข-8121,2610,AA984151966393F,6D39162BC5A3343,2009/03/19,5,14,3125,0
149,ชข-8124,2571,80EE765B0689CD5,B06224359E85536,2009/03/10,5,14,3125,0
150,ชจ-2505,2565,E56003F03205FD9,AAC23C735682ACB,2009/03/10,5,14,3125,0
151,ชจ-2506,2574,07DF7B7191708E9,508D55131FC7044,2009/03/12,5,14,3125,0
152,ชจ-2509,2572,9C38D47826003FC,2719BE1050C4078,2009/03/10,5,14,3125,0
153,ชจ-2530,1893,D1588409C3BF692,424368058029D97,2008/11/17,5,14,3125,0
154,บท-6505,2566,AF1409FDD9233A3,889F128EEDE8608,2009/03/10,5,14,3125,0
155,เขียว - ลม-2243,30,13601E01F869AD1,94748E228E66EE6,2007/05/18,1,1,81,752
156,เทา - ณท-8909,27,40F2E425480B5B1,B3E7759DAAC6706,2007/05/18,5,14,81,752
157,น้ำเงิน - ณธ-4900,31,96BCDD380FB57EB,29138C9D8615567,2007/05/18,5,14,81,752
158,ฟ้า - ณษ-4899,28,10C8020B0B22BF6,204722FE663EBCC,2007/05/18,1,1,81,752
159,(ศ-9906 ป้ายแดง),29,11BCD6878556EA3,1F3C941CF075AD8,2007/05/18,1,1,81,752
160,1ฒภ-6129 กทม,5458,ID00008520,66990402654,2010/08/27,2,11,82,58
161,ฒข-8565,5456,0856604357,66856604357,2010/08/27,2,11,82,58
162,1ฒภ-6131 กทม.,5438,ID00008500,66990856389,2010/08/27,2,11,82,58
163,1ฒภ-6132 กทม.,5466,IDXXXX8536,66990838191,2010/08/27,2,11,82,58
164,ฒย-3627,5471,ID00008541,66991254916,2010/08/27,2,11,82,58
165,1ฒภ-6133 กทม.,5454,ID00012581,66990488464,2010/08/27,2,11,82,58
166,1ฒภ-6130กทม.,5463,ID00008533,66990564064,2010/08/27,2,11,82,58
167,ฒค-8303,5470,074784872CB88A0,296A132900A687C,2010/08/27,2,11,3125,0
168,ฒญ-9590,5443,ID00008505,66856604338,2010/08/27,2,11,82,58
169,1ฒพ-5153,8893,ID00014166,66990489126,2011/11/08,2,11,82,58
170,1ฒพ-5152,8892,ID00014165,66990549239,2011/11/08,2,11,82,58
171,ฒฎ-2119กทม.,8894,ID00054167,66945565379,2011/11/08,2,11,82,58
172,ฒท-4769 กทม.,10032,ID00011939,66945562594,2012/06/01,2,11,82,58
173,ฒท-4770 กท.,5457,ID00008519,66990548912,2010/08/27,2,11,82,58
174,ฒท-4775 กท.,5462,ID00008532,66990856502,2010/08/27,2,11,82,58
175,ฒท-4776 กท.,5447,0856604346,66856604346,2010/08/27,2,11,82,58
176,ฒท-4778 กท.,5452,ID00008514,66851184294,2010/08/27,2,11,82,58
177,ฒท-4779 กท.,5465,ID00008535,66991255182,2010/08/27,2,11,82,58
178,ฒท-4780 กท.,5434,ID00008496,66990856386,2010/08/27,2,11,82,58
179,ถจ-4481,5461,2500EF96B7F0A9A,6EEC321C21C509B,2010/08/27,2,11,3125,0
180,ถจ-5017,5445,IDxxx15816,6699xxxx497,2010/08/27,2,11,82,58
181,1ฒง-20กทม.,5460,0856604361,66856604361,2010/08/27,2,11,82,58
182,ฒค-2238,5472,0856604373,66856604373,2010/08/27,2,11,82,58
183,1ฒผ-2858กทม.,5459,ID00014921,66628205308,2010/08/27,2,11,82,58
184,1ฒญ-6076กทม,5442,0856604337,66856604337,2010/08/27,2,11,82,58
185,1ฒฆ-9986กทม.,5428,0856604318,66856604318,2010/08/27,2,11,82,58
186,1ฒผ-2852กทม.,5433,ID00011300,66628210387,2010/08/27,2,11,82,58
187,1ฒผ-2857กทม,5429,ID00008491,66628210799,2010/08/27,2,11,82,58
188,1ฒผ-2849กทม.,5469,ID00011905,66628205405,2010/08/27,2,11,82,58
189,1ฒญ-5101กทม,5440,0856604335,66856604335,2010/08/27,2,11,82,58
190,1ฒบ-8486,5448,ID00008510,66628210229,2010/08/27,2,11,82,58
191,1ฒผ-2859กทม,5441,ID00006912,66628210256,2010/08/27,2,11,82,58
192,1ฒบ-8492 กทม.,5444,ID00008506,66851893026,2010/08/27,2,11,82,58
193,ถส-6234,5451,54362995C7CBED6,22744AD59C8DBDD,2010/08/27,2,11,3125,0
194,1ฒท-5156กทม.,5450,ID00008512,66990490645,2010/08/27,2,11,82,58
195,1ฒผ-2861กทม.,5464,ID00014861,66628205154,2010/08/27,2,11,82,58
196,1ฒผ-2850กทม.,5430,ID00012526,66628205396,2010/08/27,2,11,82,58
197,1ฒบ-8483กทม.,5437,ID00008499,66851923256,2010/08/27,2,11,82,58
198,1ฒบ-8489กทม.,5432,ID00008494,66619942487,2010/08/27,2,11,82,58
199,1ฒผ-2851กทม.,5453,ID00014810,66628210769,2010/08/27,2,11,82,58
200,1ฒบ-8500,5467,ID00008537,66628210789,2010/08/27,2,11,82,58
201,ถส-6243 ยกเลิก,5446,FEA602246CC5612,CA25FD058A1794B,2010/08/27,2,11,3125,0
202,1ฒบ-8490กทม.,5482,ID00008543,66628210205,2010/08/27,2,11,82,58
203,1ฒญ-5103กทม,5436,0856604328,66856604328,2010/08/27,2,11,82,58
204,1ฒบ-8494กทม.,5455,ID00008517,66619942127,2010/08/27,2,11,82,58
205,1ฒบ-6247กทม.,5435,ID00015614,66619942129,2010/08/27,2,11,82,58
206,1ฒบ-8538กทม.,5449,ID00008511,66619942484,2010/08/27,2,11,82,58
207,1ฒบ-8496,5468,ID00008538,66619942126,2010/08/05,2,11,82,58
208,1ฒบ-8504กทม.,5351,ID00007909,66851884671,2010/08/06,2,11,82,58
209,1ฒบ-8487กทม.,5431,ID00008493,66619942131,2010/08/27,2,11,82,58
210,ฒธ-4261กทม.,10033,0844279574,66990543964,2012/06/01,2,11,82,58
211,0712,4113,CA808B4A3D0B5F1,7B88A455B6D38BF,2009/11/24,2,11,3125,0
212,1724,3634,3D870E13B6666B2,EF463C85333F84B,2009/08/10,2,11,3125,0
213,31-3174 (A10),3579,7A158E42AC36889,6B3261180B49BB1,2009/07/27,2,11,3125,0
214,31-4545 (T5),4116,AB8859AD3E7596F,28C3A19509F83B7,2009/11/24,2,11,3125,0
215,31-6565,3582,B55C6C6B5002665,96A05889E24C5CF,2009/07/27,2,11,3125,0
216,31-6777 (B1),4314,5F3DE8BD2D6B1AA,9B7486EA772A438,2010/01/11,1,1,3125,0
217,31-6868,3631,FADC6D1A98833FF,8120BA11D79D492,2009/08/10,2,11,83,0
218,31-7117 (T2),4112,6605077B43E6535,507015F3EC3E2F9,2009/11/24,2,11,3125,0
219,31-7227 (A39),4313,FF41842E02ADC34,1D1982FBF5F0A58,2010/01/11,1,1,3125,0
220,31-7337,3580,A4C22163423AA4F,39036976D6C98C8,2009/08/10,2,11,3125,0
221,31-7337(A89),4953,AE192B0D978449A,2FBC7B1CD9D8DCB,2009/06/26,2,11,3125,0
222,31-8118 (T10),4115,4301617FE950E9E,68222EEBD49FD2B,2009/11/24,2,11,3125,0
223,31-9393 (8),3581,11015919562D6C1,63046C791982632,2009/07/27,2,11,3125,0
224,31-9444,3181,1FD281215822A83,A26A0819BD4E1B0,2009/06/15,5,14,3125,0
225,32-0345,3182,A34415D282ABA08,9D2BF7BB6DB7B42,2009/06/15,5,14,3125,0
226,3465,4114,53422F3AEECC072,C2A0B957B43D0BA,2009/11/24,2,11,3125,0
227,7195,4195,4589DD12AB86E35,6E16A02CDA03803,2009/11/24,2,11,3125,0
228,8121,4311,7B9EC65CBE6E929,07DE4201D0B2F25,2010/01/11,1,1,3125,0
229,8123,4312,9D4BB52E7D6BE86,77FB7FDB3E96B50,2010/01/11,1,1,3125,0
230,กม-9420 สข.,9790,0854833766,66854833766,2012/04/20,2,11,84,110
231,ขง-1849 สข.,9791,0854833890,66854833890,2012/04/20,2,11,84,110
232,ผ-1025,6027,0898133754,66898133754,2011/01/25,2,11,84,110
233,ฌจ-2164,6363,2AB12FFD7F30CEC,2CA3D8C120E46EC,2011/01/12,2,11,630,0
234,ฎอ-4113,6364,099928D309B282F,A4B4901AF10D727,2011/01/12,2,11,630,0
235,ฆน-3902กทม.,6529,0818094805,66818094805,2011/01/25,2,11,84,110
236,ฏฟ-8796,6358,E58EFB8E327A278,3BA6E65F7A0D05D,2011/01/12,2,11,630,0
237,ฎส-8107,6613,6FCEA75AB50C1F0,B505DBF358361ED,2011/01/31,2,11,3125,0
238,ฏฟ-8791,6359,14EF819032F2A19,A78457476975B98,2011/01/12,2,11,630,0
239,ศจ-6365.,9845,D59D2BAD5C5C934,E262B75B59317F9,2012/05/04,2,11,3125,0
240,8419,552,49FDBF421FA1A0B,54CC308821F7EB6,2007/11/29,5,14,3125,0
241,Fortuner,551,1FE9BE1CC5A1572,061FD5929EFB8A1,2007/11/29,5,14,3125,0
242,ชช-4094,7898,0818026951,66818026951,2011/07/22,2,11,86,902
243,ชร-863,9049,62DBAF3B7992075,3B037452A306DA4,2011/12/17,2,11,86,902
244,ชศ-5876,7597,0818014007,66818014007,2011/07/09,2,11,86,902
245,ชศ-6061,7910,0818029107,66818029107,2011/07/22,2,11,86,902
246,ชห-4463,7574,8A2E5F2E48EB8BC,9B4FC8C68126145,2011/07/04,2,11,3125,0
247,ชห-6358,7598,0818014015,66818014015,2011/07/09,2,11,86,902
248,ชอ-6167,7874,DC35B8630BC0D7D,02766556DD2EB8C,2011/07/22,2,11,86,902
249,ชอ-6170,7881,E79746917CACFA6,7F4F973F3B68A18,2011/07/22,2,11,86,902
250,ชอ-6176,7613,0847007684,66847007684,2011/07/14,2,11,86,902
251,ชอ-6178,7902,3C5C034CB3DC191,C367FE4670C0763,2011/07/22,2,11,86,902
252,ชอ-6183,7896,DDF9EC0249F1C22,42C34B1EC739342,2011/07/22,2,11,3125,0
253,ชอ-6193,7909,6A9005AAF571764,FF7A14B16730ABE,2011/07/22,2,11,3125,0
254,ชอ-6195,7582,D94D35D9B716F42,B62A486A3A553BE,2011/07/04,2,11,3125,0
255,ชอ-6199,7895,C4B721D310628A3,1F21C59616B98EE,2011/07/22,2,11,3125,0
256,ชอ-6210,7904,0818027845,66818027845,2011/07/22,2,11,86,902
257,ชอ-6213,7573,0817317828,66817317828,2011/07/04,2,11,86,902
258,ชอ-6215 ยกเลิก,7907,0818028504,66818028504,2011/07/22,2,11,86,902
259,ชอ-6217,7875,3BBD95D874DABB3,5C22EE9543BD3E9,2011/07/22,2,11,3125,0
260,ชอ-6218,7894,0818026745,66818026745,2011/07/22,2,11,86,902
261,ชอ-6223,7612,0847007679,66847007679,2011/07/14,2,11,86,902
262,ชอ-7258,7889,0818026080,66818026080,2011/07/22,2,11,86,902
263,ชอ-8708,7893,DC0C1A7A3BFD9BB,3D73633F99052D1,2011/07/22,2,11,3125,0
264,ชอ-8730,7579,672E05C0D5BFA37,E65E85B4963662A,2011/07/04,2,11,3125,0
265,ชอ-8731,7900,5060F012A7247D6,84A91B13A20C16C,2011/07/22,2,11,3125,0
266,ชอ-8735ยกเลิก,7617,0847007732,66847007732,2011/07/14,2,11,86,902
267,ชอ-8770,7887,673BEF20AF27D19,5E6B40FA9ECCC56,2011/07/22,2,11,3125,0
268,ชอ-8791,7618,0740495A2C5C864,DB9C023F1E2EEE2,2011/07/14,2,11,86,902
269,ชอ-8807,7583,BE33516E1E699C2,8BFD3F315D1E2B7,2011/07/04,2,11,3125,0
270,ชอ-8841,7885,58458BC5466AD35,48406F1EE86AFC6,2011/07/22,2,11,3125,0
271,ชอ-8941,7581,0817317849,66817317849,2011/07/04,2,11,86,902
272,ชอ-8950,7578,B2B6F8BBB20DD6F,C31B851ACA85BA1,2011/07/04,2,11,3125,0
273,ชอ-8964,7884,85EE64FB5CF929B,D9D28AE616A4F4D,2011/07/22,2,11,3125,0
274,ชอ-8971,7897,F2AC10DC957B7EE,6AD5C9FBAF58B48,2011/07/22,2,11,3125,0
275,ชอ-9026,7877,0BCF6EACCC0CA38,4E12DBF6D8F285F,2011/07/22,2,11,3125,0
276,ชอ-9030(ยกเลิก,7908,0818028676,66818028676,2011/07/22,2,11,86,902
277,ชอ-9033,7901,4513BD5F9C64E66,F640880CE5FC05C,2011/07/22,2,11,3125,0
278,ชฮ-1705,7577,ADE6F617674FECE,B39C42934AF5296,2011/07/04,2,11,3125,0
279,ชฮ-1707,7575,3F5813044E1B4A9,193627B18962A3D,2011/07/04,2,11,3125,0
280,ชฮ-1709,9050,0817516724,66817516724,2011/12/17,2,11,86,902
281,ชฮ-3710,7899,45D4643A15B18C8,49DDEB18913EF6A,2011/07/22,2,11,3125,0
282,ชฮ-3716,7611,0847007677,66847007677,2011/07/14,2,11,86,902
283,ชฮ-3721,7905,EA5F0FC6463ED15,FD3AD2650D3DD2F,2011/07/22,2,11,86,902
284,ชฮ-3722,7580,34B8EFB1AD902DC,F4EE2A412DC594E,2011/07/04,2,11,3125,0
285,ชฮ-3724,7903,9A74546DC9F0927,2D3E57E22B3218C,2011/07/22,2,11,3125,0
286,ชฮ-3726,7882,0B883BBF0620435,BD2FC41090FE42D,2011/07/22,2,11,3125,0
287,ชฮ-3728,7890,719020099A5DAD2,D562E97F4E8425D,2011/07/22,2,11,3125,0
288,ชฮ-3729,7873,23152B16BA2E83E,03DC35891989C89,2011/07/22,2,11,3125,0
289,ชฮ-3731,7615,0847007696,66847007696,2011/07/14,2,11,86,902
290,ชฮ-3732,7616,8E43BF05955BEC0,98C30DED64751E7,2011/07/14,2,11,3125,0
291,ชฮ-3736,7610,0847007664,66847007664,2011/07/14,2,11,86,902
292,ชฮ-3743,7891,EE1259F7E1899EC,7F89D0C15F608C7,2011/07/22,2,11,3125,0
293,ชฮ-3744,7892,C452416C4F1BAE0,ACAED2D1E5C7190,2011/07/22,2,11,3125,0
294,ชฮ-5691,7876,1663E409F93A823,0878915DDFCB1B6,2011/07/22,2,11,3125,0
295,ชฮ-6634,7906,2749E7967CF3F55,BAE5AEC7BCC714D,2011/07/22,2,11,3125,0
296,ชฮ-6639,7576,9FF93F4F6DB398A,3A813F717BB07DC,2011/07/04,2,11,3125,0
297,ชฮ-9022,7614,0847007693,66847007693,2011/07/14,2,11,86,902
298,ชฮ-9027ยกเลิก,7888,0818025944,66818025944,2011/07/22,2,11,86,902
299,ชฮ-9064,7879,223B1582DE162AA,BD91AD4928FACD2,2011/07/22,2,11,3125,0
300,ชฮ-9068,7880,B887224021DAADC,C4D82A72F54D755,2011/07/22,2,11,3125,0
301,ฌก-2204,7883,0818020436,66818020436,2011/07/22,2,11,86,902
302,ฌก-2210,7878,025DA274F5709E1,AA188C31672B026,2011/07/22,2,11,3125,0
303,ฌก-2214,7886,D13B96D52D1CFEC,DAC570762C96AFC,2011/07/22,2,11,86,902
304,ฌฎ-3242,9046,0817514351,66817514351,2011/12/17,2,11,86,902
305,ฌธ-2658,9047,0817514550,66817514550,2011/12/17,2,11,86,902
